Driver,Circuit,Starts,Avg Grid,Avg Finish,Median Grid,Median Finish,Best Grid,Best Finish,Podiums,Wins,DNF %,Years Active At Circuit
Sergio Perez,Yas Marina Circuit (Abu Dhabi),14,9.21,7.67,9.5,7.5,2,3,1,0,14.3,2011-2024
Valtteri Bottas,Albert Park (Australia),9,12.33,8,15,8,2,1,2,1,0,2013-2024
Valtteri Bottas,Autodromo Hermanos Rodriguez (Mexico),9,6.67,8.33,6,8,1,2,3,0,0,2015-2024
Valtteri Bottas,Autodromo Jose Carlos Pace (Interlagos),11,7.91,7.25,7,7,1,2,2,0,27.3,2013-2024
Valtteri Bottas,Autodromo Nazionale di Monza,12,9.33,6.92,5.5,4.5,2,2,4,0,0,2013-2024
Valtteri Bottas,Bahrain International Circuit,12,6.33,7.17,4.5,7,1,2,4,0,0,2013-2024
Valtteri Bottas,Baku City Circuit,7,8.57,10.57,10,12,1,1,2,1,0,2017-2024
Valtteri Bottas,Circuit Gilles Villeneuve (Canada),10,7.3,6.5,5,5.5,2,2,4,0,0,2013-2024
Valtteri Bottas,Circuit Zandvoort,4,13.25,12,16,14,3,3,1,0,25,2021-2024
Valtteri Bottas,Circuit de Barcelona-Catalunya,12,6.42,7.36,4,5,1,2,4,0,8.3,2013-2024
Valtteri Bottas,Circuit de Monaco,11,10,9.22,12,11,2,3,1,0,18.2,2013-2024
Valtteri Bottas,Circuit de Spa-Francorchamps,12,9.67,8,10.5,8,2,2,3,0,8.3,2013-2024
Valtteri Bottas,Circuit of the Americas (Austin),11,8,8.33,8,6,1,1,1,1,18.2,2013-2024
Valtteri Bottas,Hungaroring,12,6.08,9.7,4.5,8.5,2,3,2,0,16.7,2013-2024
Valtteri Bottas,Jeddah Corniche Circuit (Saudi Arabia),4,10,12.67,11,17,2,3,1,0,25,2021-2024
Valtteri Bottas,Las Vegas Strip Circuit,2,13,17.5,13,17.5,7,17,0,0,0,2023-2024
Valtteri Bottas,Lusail International Circuit (Qatar),3,9.33,9.5,9,9.5,6,8,0,0,33.3,2021-2024
Valtteri Bottas,Marina Bay Street Circuit (Singapore),10,10.6,8.5,9,8,4,3,1,0,20,2013-2024
Valtteri Bottas,Miami International Autodrome,3,10.33,12,10,13,5,7,0,0,0,2022-2024
Valtteri Bottas,Red Bull Ring (Austria),13,6.69,5.92,5,3,1,1,7,2,7.7,2014-2024
Valtteri Bottas,Shanghai International Circuit (China),8,6.25,6.57,5,6,1,2,2,0,12.5,2013-2024
Valtteri Bottas,Silverstone Circuit,13,8.31,7.08,6,4.5,1,2,5,0,7.7,2013-2024
Valtteri Bottas,Suzuka Circuit (Japan),10,8.2,8.22,8.5,6,2,1,2,1,10,2013-2024
Valtteri Bottas,Yas Marina Circuit (Abu Dhabi),12,9.25,8.3,7.5,5.5,1,1,3,1,16.7,2013-2024
